frame,time_ms,detected_hz,string_id,string_name,state_id,state_name,cents_x10,confidence,yin_tau,corr_hz,corr_string_id,corr_string_name,corr_cents_x10,corr_confidence,corr_tau,fft_peak_hz,signal_amplitude
202,12928,147.085381,2,D,1,in tune,30,0.737206,0,147.085381,2,D,30,0.737206,109,131.460099,28327
203,12992,146.998014,2,D,1,in tune,20,0.740583,0,146.998014,2,D,20,0.740583,109,131.361788,28327
204,13056,147.011911,2,D,1,in tune,21,0.740893,0,147.011911,2,D,21,0.740893,109,130.950402,26607
205,13120,146.917419,2,D,1,in tune,10,0.701511,0,146.917419,2,D,10,0.701511,109,130.813072,41718
206,13184,146.610095,255,unknown,4,unknown,-26,0.632676,0,146.610095,2,D,-26,0.632676,109,131.453426,45212
207,13248,125.481217,255,unknown,4,unknown,2437,0.218254,0,125.481217,1,A,2437,0.218254,128,196.408355,45212
208,13312,195.913569,255,unknown,4,unknown,-8,0.633736,0,195.913569,3,G,-8,0.633736,82,195.311360,45212
209,13376,195.336812,255,unknown,4,unknown,-59,0.674257,0,195.336812,3,G,-59,0.674257,82,164.414400,45212
210,13440,195.347250,255,unknown,4,unknown,-58,0.584749,0,195.347250,3,G,-58,0.584749,82,164.348550,38012
211,13504,195.634453,255,unknown,4,unknown,-32,0.524937,0,195.634453,3,G,-32,0.524937,82,195.242755,31009
212,13568,196.017262,255,unknown,4,unknown,2,0.602338,0,196.017262,3,G,2,0.602338,82,197.659290,26448
213,13632,196.382909,3,G,1,in tune,34,0.807462,0,196.382909,3,G,34,0.807462,81,200.397982,25137
214,13696,196.685664,3,G,3,sharp,61,0.702875,0,196.685664,3,G,61,0.702875,81,219.955549,20606
215,13760,109.304922,1,A,2,flat,-109,0.915057,0,109.304922,1,A,-109,0.915057,146,220.771534,4948
216,13824,109.678616,1,A,2,flat,-51,0.831032,0,109.678616,1,A,-51,0.831032,146,222.785859,42186
217,13888,231.461560,255,unknown,4,unknown,-1085,0.375996,0,231.461560,4,B,-1085,0.375996,69,193.257032,44627
218,13952,214.006687,255,unknown,4,unknown,1590,0.471622,0,214.006687,3,G,1590,0.471622,75,195.435298,44627
219,14016,214.247160,255,unknown,4,unknown,1612,0.470674,0,214.247160,3,G,1612,0.470674,75,195.058442,44627
220,14080,196.378645,255,unknown,4,unknown,33,0.484528,0,196.378645,3,G,33,0.484528,81,221.648867,42720
221,14144,196.310105,255,unknown,4,unknown,27,0.409632,0,196.310105,3,G,27,0.409632,82,221.695976,34987
222,14208,196.219387,255,unknown,4,unknown,19,0.416881,0,196.219387,3,G,19,0.416881,82,165.304142,34987
223,14272,195.874353,255,unknown,4,unknown,-11,0.387187,0,195.874353,3,G,-11,0.387187,82,165.181797,34987
224,14336,195.516814,255,unknown,4,unknown,-43,0.332995,0,195.516814,3,G,-43,0.332995,82,165.073631,34180
225,14400,131.002696,255,unknown,4,unknown,-1866,0.308244,0,131.002696,2,D,-1866,0.308244,122,164.979278,30114
226,14464,86.986236,255,unknown,4,unknown,961,0.351086,0,86.986236,0,low E,961,0.351086,184,164.892971,30015
227,14528,86.915882,255,unknown,4,unknown,947,0.361077,0,86.915882,0,low E,947,0.361077,184,164.850751,30015
228,14592,173.273060,255,unknown,4,unknown,-2007,0.319673,0,173.273060,3,G,-2007,0.319673,92,164.773198,29606
229,14656,86.914809,255,unknown,4,unknown,946,0.295978,0,86.914809,0,low E,946,0.295978,184,109.735694,29526
230,14720,107.027873,255,unknown,4,unknown,-468,0.343141,0,107.027873,1,A,-468,0.343141,149,109.623312,28728
231,14784,107.018299,255,unknown,4,unknown,-469,0.425539,0,107.018299,1,A,-469,0.425539,150,219.483870,28637
232,14848,106.774639,255,unknown,4,unknown,-508,0.493350,0,106.774639,1,A,-508,0.493350,150,219.572892,28459
233,14912,106.544512,255,unknown,4,unknown,-544,0.493815,0,106.544512,1,A,-544,0.493815,150,109.631157,28459
234,14976,105.371842,255,unknown,4,unknown,-728,0.490044,0,105.371842,1,A,-728,0.490044,152,195.281278,28459
