"index","sample","centered"
"988","141","2"
"989","140","1"
"990","139","0"
"991","140","1"
"992","140","1"
"993","138","-1"
"994","140","1"
"995","140","1"
"996","141","2"
"997","138","-1"
"998","141","2"
"999","143","4"
"1000","139","0"
"1001","140","1"
"1002","141","2"
"1003","139","0"
"1004","140","1"
"1005","139","0"
"1006","139","0"
"1007","139","0"
"1008","140","1"
"1009","138","-1"
"1010","140","1"
"1011","137","-2"
"1012","140","1"
"1013","139","0"
"1014","140","1"
"1015","141","2"
"1016","138","-1"
"1017","141","2"
"1018","138","-1"
"1019","141","2"
"1020","141","2"
"1021","141","2"
"1022","142","3"
"1023","140","1"
"1024","141","2"
"1025","142","3"
"1026","140","1"
"1027","143","4"
"1028","141","2"
"1029","144","5"
"1030","142","3"
"1031","144","5"
"1032","141","2"
"1033","144","5"
"1034","143","4"
"1035","144","5"
"1036","140","1"
"1037","142","3"
"1038","140","1"
"1039","139","0"
"1040","141","2"
"1041","138","-1"
"1042","138","-1"
"1043","137","-2"
"1044","131","-8"
"1045","137","-2"
"1046","137","-2"
"1047","138","-1"
"1048","140","1"
"1049","139","0"
"1050","142","3"
"1051","139","0"
"1052","140","1"
"1053","139","0"
"1054","141","2"
"1055","138","-1"
"1056","141","2"
"1057","143","4"
"1058","141","2"
"1059","140","1"
"1060","141","2"
"1061","139","0"
"1062","140","1"
"1063","140","1"
"1064","139","0"
"1065","140","1"
"1066","139","0"
"1067","141","2"
"1068","140","1"
"1069","138","-1"
"1070","138","-1"
"1071","138","-1"
"1072","135","-4"
"1073","138","-1"
"1074","136","-3"
"1075","137","-2"
"1076","141","2"
"1077","139","0"
"1078","138","-1"
"1079","138","-1"
"1080","140","1"
"1081","140","1"
"1082","140","1"
"1083","142","3"
"1084","139","0"
"1085","141","2"
"1086","143","4"
"1087","141","2"
"1088","143","4"
"1089","142","3"
"1090","142","3"
"1091","141","2"
"1092","143","4"
"1093","144","5"
"1094","141","2"
"1095","143","4"
"1096","140","1"
"1097","138","-1"
"1098","140","1"
"1099","139","0"
"1100","141","2"
"1101","138","-1"
"1102","138","-1"
"1103","139","0"
"1104","136","-3"
"1105","140","1"
"1106","137","-2"
"1107","139","0"
"1108","141","2"
"1109","138","-1"
"1110","139","0"
"1111","141","2"
"1112","141","2"
"1113","139","0"
"1114","142","3"
"1115","138","-1"
"1116","139","0"
"1117","142","3"
"1118","138","-1"
"1119","141","2"
"1120","139","0"
"1121","141","2"
"1122","141","2"
"1123","141","2"
"1124","140","1"
"1125","140","1"
"1126","137","-2"
"1127","138","-1"
"1128","141","2"
"1129","138","-1"
"1130","141","2"
"1131","140","1"
"1132","139","0"
"1133","140","1"
"1134","132","-7"
"1135","136","-3"
"1136","140","1"
"1137","136","-3"
"1138","138","-1"
"1139","139","0"
"1140","138","-1"
"1141","136","-3"
"1142","140","1"
"1143","141","2"
"1144","140","1"
"1145","141","2"
"1146","138","-1"
"1147","141","2"
"1148","139","0"
"1149","142","3"
"1150","140","1"
"1151","140","1"
"1152","143","4"
"1153","140","1"
"1154","142","3"
"1155","143","4"
"1156","144","5"
"1157","140","1"
"1158","141","2"
"1159","140","1"
"1160","139","0"
"1161","140","1"
"1162","138","-1"
"1163","138","-1"
"1164","137","-2"
"1165","140","1"
"1166","138","-1"
"1167","137","-2"
"1168","140","1"
"1169","138","-1"
"1170","140","1"
"1171","141","2"
"1172","139","0"
"1173","139","0"
"1174","142","3"
"1175","141","2"
"1176","139","0"
"1177","142","3"
"1178","139","0"
"1179","141","2"
"1180","139","0"
"1181","139","0"
"1182","142","3"
"1183","140","1"
"1184","141","2"
"1185","141","2"
"1186","139","0"
"1187","140","1"
"1188","139","0"
"1189","141","2"
"1190","140","1"
"1191","140","1"
"1192","142","3"
"1193","139","0"
"1194","139","0"
"1195","140","1"
"1196","137","-2"
"1197","137","-2"
"1198","138","-1"
"1199","138","-1"
"1200","140","1"
"1201","140","1"
"1202","138","-1"
"1203","137","-2"
"1204","140","1"
"1205","139","0"
"1206","141","2"
"1207","140","1"
"1208","140","1"
"1209","141","2"
"1210","141","2"
"1211","139","0"
"1212","140","1"
"1213","142","3"
"1214","140","1"
"1215","139","0"
"1216","140","1"
"1217","140","1"
"1218","141","2"
"1219","139","0"
"1220","142","3"
"1221","142","3"
"1222","138","-1"
"1223","138","-1"
"1224","141","2"
"1225","140","1"
"1226","138","-1"
"1227","137","-2"
"1228","140","1"
"1229","137","-2"
"1230","140","1"
"1231","141","2"
"1232","139","0"
"1233","138","-1"
"1234","142","3"
"1235","142","3"
"1236","140","1"
"1237","142","3"
"1238","140","1"
"1239","140","1"
"1240","140","1"
"1241","142","3"
"1242","140","1"
"1243","142","3"
"1244","138","-1"
"1245","141","2"
"1246","142","3"
"1247","140","1"
"1248","141","2"
"1249","141","2"
"1250","139","0"
"1251","141","2"
"1252","142","3"
"1253","141","2"
"1254","140","1"
"1255","140","1"
"1256","138","-1"
"1257","139","0"
"1258","137","-2"
"1259","137","-2"
"1260","140","1"
"1261","141","2"
"1262","139","0"
"1263","140","1"
"1264","138","-1"
"1265","141","2"
"1266","139","0"
"1267","142","3"
"1268","142","3"
"1269","139","0"
"1270","140","1"
"1271","139","0"
"1272","140","1"
"1273","140","1"
"1274","139","0"
"1275","139","0"
"1276","140","1"
"1277","140","1"
"1278","143","4"
"1279","139","0"
"1280","143","4"
"1281","140","1"
"1282","140","1"
"1283","141","2"
"1284","140","1"
"1285","139","0"
"1286","140","1"
"1287","138","-1"
"1288","137","-2"
"1289","139","0"
"1290","137","-2"
"1291","139","0"
"1292","138","-1"
"1293","137","-2"
"1294","139","0"
"1295","141","2"
"1296","138","-1"
"1297","141","2"
"1298","139","0"
"1299","140","1"
"1300","141","2"
"1301","138","-1"
"1302","140","1"
"1303","139","0"
"1304","139","0"
"1305","134","-5"
"1306","143","4"
"1307","140","1"
"1308","141","2"
"1309","142","3"
"1310","138","-1"
"1311","141","2"
"1312","139","0"
"1313","140","1"
"1314","140","1"
"1315","139","0"
"1316","141","2"
"1317","140","1"
"1318","138","-1"
"1319","138","-1"
"1320","141","2"
"1321","141","2"
"1322","139","0"
"1323","138","-1"
"1324","141","2"
"1325","141","2"
"1326","141","2"
"1327","142","3"
"1328","139","0"
"1329","142","3"
"1330","140","1"
"1331","142","3"
"1332","140","1"
"1333","139","0"
"1334","143","4"
"1335","144","5"
"1336","140","1"
"1337","140","1"
"1338","141","2"
"1339","141","2"
"1340","141","2"
"1341","140","1"
"1342","141","2"
"1343","141","2"
"1344","141","2"
"1345","140","1"
"1346","138","-1"
"1347","131","-8"
"1348","139","0"
"1349","136","-3"
"1350","139","0"
"1351","138","-1"
"1352","139","0"
"1353","140","1"
"1354","137","-2"
"1355","137","-2"
"1356","140","1"
"1357","141","2"
"1358","140","1"
"1359","141","2"
"1360","137","-2"
"1361","140","1"
"1362","135","-4"
"1363","138","-1"
"1364","141","2"
"1365","138","-1"
"1366","140","1"
"1367","141","2"
"1368","141","2"
"1369","141","2"
"1370","138","-1"
"1371","141","2"
"1372","142","3"
"1373","142","3"
"1374","142","3"
"1375","139","0"
"1376","141","2"
"1377","139","0"
"1378","137","-2"
"1379","138","-1"
"1380","137","-2"
"1381","138","-1"
"1382","141","2"
"1383","141","2"
"1384","138","-1"
"1385","138","-1"
"1386","141","2"
"1387","140","1"
"1388","142","3"
"1389","143","4"
"1390","138","-1"
"1391","138","-1"
"1392","141","2"
"1393","139","0"
"1394","142","3"
"1395","142","3"
"1396","141","2"
"1397","140","1"
"1398","143","4"
"1399","142","3"
"1400","141","2"
"1401","140","1"
"1402","142","3"
"1403","142","3"
"1404","139","0"
"1405","141","2"
"1406","140","1"
"1407","141","2"
"1408","137","-2"
"1409","138","-1"
"1410","140","1"
"1411","140","1"
"1412","137","-2"
"1413","137","-2"
"1414","139","0"
"1415","135","-4"
"1416","140","1"
"1417","141","2"
"1418","138","-1"
"1419","140","1"
"1420","140","1"
"1421","140","1"
"1422","138","-1"
"1423","137","-2"
"1424","140","1"
"1425","138","-1"
"1426","140","1"
"1427","138","-1"
"1428","140","1"
"1429","139","0"
"1430","140","1"
"1431","140","1"
"1432","137","-2"
"1433","140","1"
"1434","140","1"
"1435","142","3"
"1436","138","-1"
"1437","141","2"
"1438","138","-1"
"1439","139","0"
"1440","137","-2"
"1441","138","-1"
"1442","140","1"
"1443","140","1"
"1444","137","-2"
"1445","137","-2"
"1446","139","0"
"1447","140","1"
"1448","138","-1"
"1449","140","1"
"1450","138","-1"
"1451","139","0"
"1452","141","2"
"1453","139","0"
"1454","141","2"
"1455","140","1"
"1456","141","2"
"1457","143","4"
"1458","140","1"
"1459","139","0"
"1460","143","4"
"1461","143","4"
"1462","140","1"
"1463","141","2"
"1464","142","3"
"1465","141","2"
"1466","139","0"
"1467","139","0"
"1468","141","2"
"1469","139","0"
"1470","141","2"
"1471","140","1"
"1472","138","-1"
"1473","137","-2"
"1474","139","0"
"1475","138","-1"
"1476","141","2"
"1477","141","2"
"1478","138","-1"
"1479","141","2"
"1480","140","1"
"1481","139","0"
"1482","141","2"
"1483","138","-1"
"1484","140","1"
"1485","139","0"
"1486","138","-1"
"1487","140","1"
"1488","138","-1"
"1489","141","2"
"1490","138","-1"
"1491","140","1"
"1492","140","1"
"1493","138","-1"
"1494","139","0"
"1495","137","-2"
"1496","138","-1"
"1497","140","1"
"1498","140","1"
"1499","138","-1"
"1500","137","-2"
"1501","140","1"
"1502","138","-1"
"1503","139","0"
"1504","139","0"
"1505","137","-2"
"1506","140","1"
"1507","138","-1"
"1508","139","0"
"1509","140","1"
"1510","140","1"
"1511","138","-1"
"1512","141","2"
"1513","139","0"
"1514","138","-1"
"1515","141","2"
"1516","141","2"
"1517","143","4"
"1518","139","0"
"1519","142","3"
"1520","140","1"
"1521","141","2"
"1522","144","5"
"1523","141","2"
"1524","143","4"
"1525","143","4"
"1526","140","1"
"1527","142","3"
"1528","139","0"
"1529","141","2"
"1530","139","0"
"1531","142","3"
"1532","138","-1"
"1533","138","-1"
"1534","141","2"
"1535","138","-1"
"1536","141","2"
"1537","142","3"
"1538","139","0"
"1539","138","-1"
"1540","142","3"
"1541","142","3"
"1542","139","0"
"1543","148","9"
"1544","140","1"
"1545","141","2"
"1546","138","-1"
"1547","138","-1"
"1548","141","2"
"1549","139","0"
"1550","142","3"
"1551","138","-1"
"1552","139","0"
"1553","138","-1"
"1554","141","2"
"1555","141","2"
"1556","138","-1"
"1557","139","0"
"1558","141","2"
"1559","138","-1"
"1560","140","1"
"1561","139","0"
"1562","139","0"
"1563","140","1"
"1564","137","-2"
"1565","137","-2"
"1566","140","1"
"1567","138","-1"
"1568","137","-2"
"1569","136","-3"
"1570","140","1"
"1571","140","1"
"1572","135","-4"
"1573","139","0"
"1574","138","-1"
"1575","139","0"
"1576","141","2"
"1577","139","0"
"1578","141","2"
"1579","140","1"
"1580","139","0"
"1581","142","3"
"1582","140","1"
"1583","142","3"
"1584","142","3"
"1585","141","2"
"1586","142","3"
"1587","142","3"
"1588","139","0"
"1589","138","-1"
"1590","141","2"
"1591","141","2"
"1592","138","-1"
"1593","138","-1"
"1594","137","-2"
"1595","138","-1"
"1596","140","1"
"1597","141","2"
"1598","138","-1"
"1599","138","-1"
"1600","141","2"
"1601","140","1"
"1602","141","2"
"1603","143","4"
"1604","140","1"
"1605","141","2"
"1606","139","0"
"1607","137","-2"
"1608","141","2"
"1609","140","1"
"1610","141","2"
"1611","139","0"
"1612","141","2"
"1613","142","3"
"1614","139","0"
"1615","141","2"
"1616","140","1"
