"index","sample","centered"
"788","140","1"
"789","137","-2"
"790","140","1"
"791","146","7"
"792","142","3"
"793","139","0"
"794","140","1"
"795","139","0"
"796","138","-1"
"797","138","-1"
"798","139","0"
"799","138","-1"
"800","141","2"
"801","141","2"
"802","138","-1"
"803","141","2"
"804","139","0"
"805","133","-6"
"806","138","-1"
"807","139","0"
"808","141","2"
"809","138","-1"
"810","141","2"
"811","142","3"
"812","140","1"
"813","141","2"
"814","139","0"
"815","139","0"
"816","138","-1"
"817","141","2"
"818","138","-1"
"819","139","0"
"820","141","2"
"821","139","0"
"822","139","0"
"823","141","2"
"824","138","-1"
"825","139","0"
"826","141","2"
"827","138","-1"
"828","139","0"
"829","139","0"
"830","138","-1"
"831","136","-3"
"832","141","2"
"833","138","-1"
"834","142","3"
"835","139","0"
"836","141","2"
"837","140","1"
"838","140","1"
"839","138","-1"
"840","141","2"
"841","140","1"
"842","141","2"
"843","142","3"
"844","141","2"
"845","138","-1"
"846","139","0"
"847","139","0"
"848","141","2"
"849","139","0"
"850","140","1"
"851","138","-1"
"852","141","2"
"853","139","0"
"854","138","-1"
"855","139","0"
"856","141","2"
"857","138","-1"
"858","139","0"
"859","140","1"
"860","141","2"
"861","140","1"
"862","139","0"
"863","139","0"
"864","141","2"
"865","141","2"
"866","142","3"
"867","141","2"
"868","141","2"
"869","142","3"
"870","139","0"
"871","139","0"
"872","141","2"
"873","141","2"
"874","140","1"
"875","140","1"
"876","141","2"
"877","142","3"
"878","140","1"
"879","138","-1"
"880","144","5"
"881","141","2"
"882","142","3"
"883","142","3"
"884","138","-1"
"885","140","1"
"886","141","2"
"887","141","2"
"888","141","2"
"889","140","1"
"890","139","0"
"891","141","2"
"892","139","0"
"893","138","-1"
"894","139","0"
"895","139","0"
"896","139","0"
"897","139","0"
"898","141","2"
"899","142","3"
"900","141","2"
"901","142","3"
"902","138","-1"
"903","140","1"
"904","142","3"
"905","141","2"
"906","139","0"
"907","138","-1"
"908","141","2"
"909","142","3"
"910","139","0"
"911","141","2"
"912","140","1"
"913","140","1"
"914","141","2"
"915","141","2"
"916","139","0"
"917","139","0"
"918","141","2"
"919","142","3"
"920","140","1"
"921","141","2"
"922","139","0"
"923","141","2"
"924","139","0"
"925","138","-1"
"926","142","3"
"927","139","0"
"928","141","2"
"929","141","2"
"930","138","-1"
"931","141","2"
"932","138","-1"
"933","141","2"
"934","139","0"
"935","140","1"
"936","139","0"
"937","138","-1"
"938","141","2"
"939","139","0"
"940","141","2"
"941","141","2"
"942","140","1"
"943","140","1"
"944","141","2"
"945","138","-1"
"946","143","4"
"947","139","0"
"948","141","2"
"949","141","2"
"950","139","0"
"951","139","0"
"952","142","3"
"953","142","3"
"954","141","2"
"955","141","2"
"956","139","0"
"957","138","-1"
"958","141","2"
"959","141","2"
"960","139","0"
"961","139","0"
"962","141","2"
"963","141","2"
"964","138","-1"
"965","138","-1"
"966","141","2"
"967","140","1"
"968","140","1"
"969","138","-1"
"970","141","2"
"971","140","1"
"972","140","1"
"973","140","1"
"974","140","1"
"975","139","0"
"976","141","2"
"977","140","1"
"978","138","-1"
"979","139","0"
"980","141","2"
"981","140","1"
"982","141","2"
"983","141","2"
"984","139","0"
"985","138","-1"
"986","138","-1"
"987","140","1"
"988","141","2"
"989","141","2"
"990","139","0"
"991","139","0"
"992","138","-1"
"993","139","0"
"994","140","1"
"995","134","-5"
"996","141","2"
"997","141","2"
"998","139","0"
"999","139","0"
"1000","141","2"
"1001","141","2"
"1002","138","-1"
"1003","142","3"
"1004","138","-1"
"1005","138","-1"
"1006","141","2"
"1007","141","2"
"1008","139","0"
"1009","139","0"
"1010","141","2"
"1011","141","2"
"1012","139","0"
"1013","138","-1"
"1014","141","2"
"1015","139","0"
"1016","141","2"
"1017","142","3"
"1018","141","2"
"1019","141","2"
"1020","138","-1"
"1021","141","2"
"1022","139","0"
"1023","139","0"
"1024","138","-1"
"1025","138","-1"
"1026","140","1"
"1027","141","2"
"1028","137","-2"
"1029","140","1"
"1030","139","0"
"1031","138","-1"
"1032","141","2"
"1033","139","0"
"1034","141","2"
"1035","142","3"
"1036","140","1"
"1037","141","2"
"1038","141","2"
"1039","141","2"
"1040","138","-1"
"1041","136","-3"
"1042","139","0"
"1043","138","-1"
"1044","139","0"
"1045","139","0"
"1046","141","2"
"1047","141","2"
"1048","138","-1"
"1049","138","-1"
"1050","141","2"
"1051","141","2"
"1052","141","2"
"1053","141","2"
"1054","140","1"
"1055","140","1"
"1056","139","0"
"1057","138","-1"
"1058","141","2"
"1059","141","2"
"1060","139","0"
"1061","140","1"
"1062","139","0"
"1063","138","-1"
"1064","139","0"
"1065","140","1"
"1066","139","0"
"1067","140","1"
"1068","138","-1"
"1069","141","2"
"1070","139","0"
"1071","141","2"
"1072","140","1"
"1073","142","3"
"1074","141","2"
"1075","139","0"
"1076","141","2"
"1077","140","1"
"1078","140","1"
"1079","141","2"
"1080","141","2"
"1081","139","0"
"1082","141","2"
"1083","138","-1"
"1084","139","0"
"1085","141","2"
"1086","138","-1"
"1087","141","2"
"1088","138","-1"
"1089","141","2"
"1090","138","-1"
"1091","141","2"
"1092","139","0"
"1093","139","0"
"1094","139","0"
"1095","141","2"
"1096","138","-1"
"1097","140","1"
"1098","139","0"
"1099","138","-1"
"1100","142","3"
"1101","141","2"
"1102","139","0"
"1103","141","2"
"1104","139","0"
"1105","140","1"
"1106","140","1"
"1107","142","3"
"1108","139","0"
"1109","141","2"
"1110","139","0"
"1111","139","0"
"1112","141","2"
"1113","139","0"
"1114","142","3"
"1115","141","2"
"1116","139","0"
"1117","139","0"
"1118","141","2"
"1119","139","0"
"1120","140","1"
"1121","143","4"
"1122","139","0"
"1123","138","-1"
"1124","141","2"
"1125","142","3"
"1126","138","-1"
"1127","139","0"
"1128","139","0"
"1129","139","0"
"1130","139","0"
"1131","139","0"
"1132","138","-1"
"1133","141","2"
"1134","138","-1"
"1135","140","1"
"1136","139","0"
"1137","139","0"
"1138","141","2"
"1139","138","-1"
"1140","141","2"
"1141","141","2"
"1142","140","1"
"1143","141","2"
"1144","138","-1"
"1145","141","2"
"1146","138","-1"
"1147","141","2"
"1148","141","2"
"1149","141","2"
"1150","140","1"
"1151","142","3"
"1152","139","0"
"1153","138","-1"
"1154","141","2"
"1155","141","2"
"1156","140","1"
"1157","141","2"
"1158","141","2"
"1159","141","2"
"1160","139","0"
"1161","138","-1"
"1162","141","2"
"1163","140","1"
"1164","138","-1"
"1165","141","2"
"1166","139","0"
"1167","138","-1"
"1168","140","1"
"1169","139","0"
"1170","141","2"
"1171","140","1"
"1172","140","1"
"1173","141","2"
"1174","140","1"
"1175","141","2"
"1176","139","0"
"1177","138","-1"
"1178","141","2"
"1179","139","0"
"1180","141","2"
"1181","140","1"
"1182","141","2"
"1183","141","2"
"1184","141","2"
"1185","141","2"
"1186","139","0"
"1187","139","0"
"1188","141","2"
"1189","141","2"
"1190","141","2"
"1191","141","2"
"1192","139","0"
"1193","139","0"
"1194","141","2"
"1195","139","0"
"1196","141","2"
"1197","142","3"
"1198","139","0"
"1199","139","0"
"1200","141","2"
"1201","141","2"
"1202","135","-4"
"1203","139","0"
"1204","141","2"
"1205","140","1"
"1206","140","1"
"1207","139","0"
"1208","142","3"
"1209","140","1"
"1210","141","2"
"1211","141","2"
"1212","139","0"
"1213","141","2"
"1214","138","-1"
"1215","142","3"
"1216","139","0"
"1217","138","-1"
"1218","140","1"
"1219","139","0"
"1220","140","1"
"1221","139","0"
"1222","139","0"
"1223","141","2"
"1224","138","-1"
"1225","141","2"
"1226","139","0"
"1227","142","3"
"1228","140","1"
"1229","142","3"
"1230","139","0"
"1231","139","0"
"1232","142","3"
"1233","139","0"
"1234","141","2"
"1235","141","2"
"1236","139","0"
"1237","139","0"
"1238","139","0"
"1239","139","0"
"1240","140","1"
"1241","141","2"
"1242","142","3"
"1243","141","2"
"1244","139","0"
"1245","139","0"
"1246","140","1"
"1247","141","2"
"1248","139","0"
"1249","139","0"
"1250","140","1"
"1251","141","2"
"1252","139","0"
"1253","138","-1"
"1254","141","2"
"1255","141","2"
"1256","139","0"
"1257","139","0"
"1258","141","2"
"1259","138","-1"
"1260","141","2"
"1261","142","3"
"1262","139","0"
"1263","141","2"
"1264","138","-1"
"1265","141","2"
"1266","139","0"
"1267","139","0"
"1268","140","1"
"1269","138","-1"
"1270","142","3"
"1271","142","3"
"1272","140","1"
"1273","139","0"
"1274","142","3"
"1275","135","-4"
"1276","138","-1"
"1277","139","0"
"1278","141","2"
"1279","141","2"
"1280","138","-1"
"1281","139","0"
"1282","141","2"
"1283","141","2"
"1284","139","0"
"1285","138","-1"
"1286","142","3"
"1287","142","3"
"1288","138","-1"
"1289","141","2"
"1290","138","-1"
"1291","141","2"
"1292","140","1"
"1293","139","0"
"1294","140","1"
"1295","139","0"
"1296","144","5"
"1297","142","3"
"1298","141","2"
"1299","139","0"
"1300","141","2"
"1301","139","0"
"1302","141","2"
"1303","141","2"
"1304","141","2"
"1305","141","2"
"1306","141","2"
"1307","138","-1"
"1308","140","1"
"1309","141","2"
"1310","138","-1"
"1311","140","1"
"1312","139","0"
"1313","141","2"
"1314","138","-1"
"1315","139","0"
"1316","141","2"
"1317","140","1"
"1318","138","-1"
"1319","140","1"
"1320","138","-1"
"1321","141","2"
"1322","139","0"
"1323","140","1"
"1324","138","-1"
"1325","141","2"
"1326","138","-1"
"1327","140","1"
"1328","139","0"
"1329","141","2"
"1330","138","-1"
"1331","138","-1"
"1332","141","2"
"1333","141","2"
"1334","138","-1"
"1335","138","-1"
"1336","140","1"
"1337","139","0"
"1338","141","2"
"1339","142","3"
"1340","140","1"
"1341","141","2"
"1342","138","-1"
"1343","141","2"
"1344","138","-1"
"1345","138","-1"
"1346","139","0"
"1347","138","-1"
"1348","139","0"
"1349","138","-1"
"1350","139","0"
"1351","139","0"
"1352","141","2"
"1353","139","0"
"1354","140","1"
"1355","141","2"
"1356","138","-1"
"1357","145","6"
"1358","138","-1"
"1359","141","2"
"1360","140","1"
"1361","140","1"
"1362","142","3"
"1363","142","3"
"1364","138","-1"
"1365","141","2"
"1366","141","2"
"1367","139","0"
"1368","141","2"
"1369","140","1"
"1370","139","0"
"1371","139","0"
"1372","140","1"
"1373","139","0"
"1374","139","0"
"1375","138","-1"
"1376","139","0"
"1377","139","0"
"1378","141","2"
"1379","141","2"
"1380","139","0"
"1381","141","2"
"1382","140","1"
"1383","141","2"
"1384","140","1"
"1385","141","2"
"1386","138","-1"
"1387","141","2"
"1388","139","0"
"1389","139","0"
"1390","141","2"
"1391","140","1"
"1392","141","2"
"1393","141","2"
"1394","139","0"
"1395","138","-1"
"1396","142","3"
"1397","139","0"
"1398","140","1"
"1399","141","2"
"1400","139","0"
"1401","141","2"
"1402","139","0"
"1403","138","-1"
"1404","141","2"
"1405","141","2"
"1406","140","1"
"1407","141","2"
"1408","140","1"
"1409","141","2"
"1410","161","22"
"1411","139","0"
"1412","141","2"
"1413","141","2"
"1414","138","-1"
"1415","138","-1"
"1416","141","2"
"1417","139","0"
"1418","140","1"
"1419","138","-1"
"1420","141","2"
"1421","139","0"
"1422","142","3"
"1423","138","-1"
"1424","139","0"
"1425","138","-1"
"1426","140","1"
"1427","139","0"
"1428","136","-3"
"1429","138","-1"
"1430","142","3"
"1431","139","0"
"1432","140","1"
"1433","141","2"
"1434","139","0"
"1435","139","0"
"1436","141","2"
"1437","140","1"
"1438","138","-1"
"1439","138","-1"
"1440","142","3"
"1441","142","3"
"1442","139","0"
"1443","138","-1"
"1444","140","1"
"1445","142","3"
"1446","139","0"
"1447","138","-1"
"1448","142","3"
"1449","140","1"
"1450","139","0"
"1451","142","3"
"1452","140","1"
"1453","139","0"
"1454","139","0"
"1455","141","2"
"1456","139","0"
"1457","137","-2"
"1458","141","2"
"1459","142","3"
"1460","141","2"
"1461","141","2"
"1462","140","1"
"1463","141","2"
"1464","138","-1"
"1465","139","0"
"1466","141","2"
"1467","141","2"
"1468","138","-1"
"1469","141","2"
"1470","138","-1"
"1471","138","-1"
"1472","142","3"
"1473","140","1"
"1474","187","48"
"1475","141","2"
"1476","141","2"
"1477","142","3"
"1478","141","2"
"1479","142","3"
"1480","139","0"
"1481","141","2"
"1482","140","1"
"1483","139","0"
"1484","139","0"
"1485","138","-1"
"1486","141","2"
"1487","142","3"
"1488","138","-1"
"1489","139","0"
"1490","141","2"
"1491","142","3"
"1492","139","0"
"1493","141","2"
"1494","140","1"
"1495","139","0"
"1496","142","3"
"1497","140","1"
"1498","141","2"
"1499","140","1"
"1500","139","0"
"1501","139","0"
"1502","139","0"
"1503","140","1"
"1504","140","1"
"1505","138","-1"
"1506","140","1"
"1507","135","-4"
"1508","140","1"
"1509","140","1"
"1510","140","1"
"1511","141","2"
"1512","139","0"
"1513","138","-1"
"1514","142","3"
"1515","141","2"
"1516","138","-1"
"1517","139","0"
"1518","140","1"
"1519","139","0"
"1520","140","1"
"1521","140","1"
"1522","142","3"
"1523","142","3"
"1524","141","2"
"1525","141","2"
"1526","138","-1"
"1527","141","2"
"1528","139","0"
"1529","139","0"
"1530","141","2"
"1531","141","2"
"1532","139","0"
"1533","139","0"
"1534","141","2"
"1535","141","2"
